package_name,target,exists,unpublished,published,removed,latest_version,number_of_versions,downloads
stringjs_lib,string,True,False,2022-07-23 05:41:52.674000+00:00,2022-07-26 10:37:35.820000+00:00,0.2.1,1,42.0
strip-json-combmentd,strip-json-comments,True,False,2022-08-18 16:09:55.177000+00:00,2022-08-19 08:41:12.947000+00:00,1.2.0,1,33.0
strip-nasi,strip-ansi,True,False,2022-08-18 16:09:58.683000+00:00,2022-08-19 08:41:21.292000+00:00,1.2.0,1,30.0
strnig-width,string-width,True,True,2022-10-02 13:37:32.523000+00:00,2022-10-02 14:55:54.527000+00:00,5.1.2,1,
style-componenx,styled-components,True,False,2022-08-18 16:10:05.306000+00:00,2022-08-19 08:41:25.432000+00:00,1.2.0,1,27.0
suer,user,True,False,2022-08-18 16:10:23.203000+00:00,2022-08-19 08:41:32.948000+00:00,1.2.0,1,32.0
suhallowexqual,shallowequal,True,False,2022-08-18 16:10:25.962000+00:00,2022-08-19 08:41:36.479000+00:00,1.2.0,1,30.0
suorce-map,source-map,True,False,2022-08-18 16:10:29.073000+00:00,2022-08-19 08:41:39.778000+00:00,1.2.0,1,30.0
supoprts-color,supports-colors,True,True,2022-10-02 13:16:18.265000+00:00,2022-10-02 14:55:25.929000+00:00,9.2.3,1,
supporst-color,supports-colors,True,True,2022-10-02 13:17:03.607000+00:00,2022-10-02 14:55:28.102000+00:00,9.2.3,1,
support-colors,colors,True,False,2022-05-08 06:24:06.076000+00:00,2022-06-01 09:02:08.984000+00:00,1.4.0,1,107.0
supports-cloor,supports-colors,True,True,2022-10-02 13:17:26.977000+00:00,2022-10-02 14:55:29.630000+00:00,9.2.3,1,
supports-colro,supports-colors,True,True,2022-10-02 13:17:49.979000+00:00,2022-10-02 14:55:31.169000+00:00,9.2.3,1,
supports-coolr,supports-colors,True,True,2022-10-02 13:17:38.645000+00:00,2022-10-02 14:55:30.429000+00:00,9.2.3,1,
supports-oclor,supports-colors,True,True,2022-10-02 13:17:12.783000+00:00,2022-10-02 14:55:28.881000+00:00,9.2.3,1,
suppotrs-color,supports-colors,True,True,2022-10-02 13:16:52.091000+00:00,2022-10-02 14:55:27.330000+00:00,9.2.3,1,
supprots-color,supports-colors,True,True,2022-10-02 13:16:41.122000+00:00,2022-10-02 14:55:26.660000+00:00,9.2.3,1,
swlenium-wkebdriver,selenium-webdriver,True,False,2022-08-18 16:10:52.634000+00:00,2022-08-19 08:41:46.353000+00:00,1.2.0,1,26.0
sync-colors,colors,True,False,2022-05-08 04:23:04.786000+00:00,2022-06-01 09:02:17.602000+00:00,1.7.3,3,81.0
synfc-wrequest,sync-request,True,False,2022-08-18 16:10:58.657000+00:00,2022-08-19 08:41:54.450000+00:00,1.2.0,1,31.0
terser-ebrpack-plugin,terser-webpack-plugin,True,False,2022-08-18 16:11:21.685000+00:00,2022-08-19 08:42:05.732000+00:00,1.2.0,1,27.0
text-ytabl,text-table,True,False,2022-08-18 16:11:27.598000+00:00,2022-08-19 08:42:08.488000+00:00,1.2.0,1,24.0
thtp-errors,http-errors,True,True,2022-10-02 13:41:14.139000+00:00,2022-10-02 14:55:58.893000+00:00,2.0.0,1,
titles,title,True,False,2022-05-08 05:07:10.179000+00:00,2022-06-01 09:02:11.892000+00:00,3.4.4,1,87.0
tlsib,tslib,True,True,2022-10-02 13:35:17.117000+00:00,2022-10-02 14:55:49.701000+00:00,2.4.0,1,
traecr,tracer,True,False,2022-08-18 16:12:24.326000+00:00,2022-08-19 08:42:30.880000+00:00,1.2.0,1,23.0
trcer,tracer,True,False,2022-08-18 16:12:29.610000+00:00,2022-08-19 08:42:34.182000+00:00,1.2.0,1,27.0
tsilb,tslib,True,True,2022-10-02 13:35:29.338000+00:00,2022-10-02 14:55:50.950000+00:00,2.4.0,1,
tsilnt,tslint,True,False,2022-08-18 16:12:35.055000+00:00,2022-08-19 08:42:36.851000+00:00,1.2.0,1,28.0
tslbi,tslib,True,True,2022-10-02 13:35:45.109000+00:00,2022-10-02 14:55:51.578000+00:00,2.4.0,1,
tsli,tslint,True,False,2022-08-18 16:12:42.956000+00:00,2022-08-19 08:42:44.438000+00:00,1.2.0,1,357.0
tslnit,tslint,True,False,2022-08-18 16:12:54.915000+00:00,2022-08-19 08:42:47.425000+00:00,1.2.0,1,28.0
tsring-width,string-width,True,True,2022-10-02 13:36:44.312000+00:00,2022-10-02 14:55:52.320000+00:00,5.1.2,1,
ttp-error,http-errors,True,False,2022-08-16 13:32:12.795000+00:00,2022-08-19 08:45:39.978000+00:00,8.1.2,25,25.0
twilio-npm,twilio,True,False,2020-11-02 18:32:45.182000+00:00,2020-11-02 18:33:42.173000+00:00,1.0.0,3,406.0
uglp-rename,gulp-rename,True,False,2022-08-18 16:13:42.183000+00:00,2022-08-19 08:42:59.671000+00:00,1.2.0,1,26.0
uinversalify,universalify,True,True,2022-10-02 12:32:05.466000+00:00,2022-10-02 14:54:41.136000+00:00,2.0.0,1,
ulp-watcgh,gulp-watch,True,False,2022-08-18 16:14:00.371000+00:00,2022-08-19 08:43:08.448000+00:00,1.2.0,1,25.0
unievrsalify,universalify,True,True,2022-10-02 12:32:25.813000+00:00,2022-10-02 14:54:41.902000+00:00,2.0.0,1,
univeraslify,universalify,True,True,2022-10-02 12:33:40.512000+00:00,2022-10-02 14:54:44.057000+00:00,2.0.0,1,
universailfy,universalify,True,True,2022-10-02 12:34:26.910000+00:00,2022-10-02 14:54:45.842000+00:00,2.0.0,1,
universalfiy,universalify,True,True,2022-10-02 12:34:57.838000+00:00,2022-10-02 14:54:46.580000+00:00,2.0.0,1,
universaliyf,universalify,True,True,2022-10-02 12:35:15.254000+00:00,2022-10-02 14:54:47.275000+00:00,2.0.0,1,
universlaify,universalify,True,True,2022-10-02 12:33:58.653000+00:00,2022-10-02 14:54:45.034000+00:00,2.0.0,1,
univesralify,universalify,True,True,2022-10-02 12:33:14.871000+00:00,2022-10-02 14:54:43.283000+00:00,2.0.0,1,
univresalify,universalify,True,True,2022-10-02 12:32:56.968000+00:00,2022-10-02 14:54:42.601000+00:00,2.0.0,1,
unzdrscore,underscore,True,False,2022-08-18 16:14:15.066000+00:00,2022-08-19 08:43:16.690000+00:00,1.2.0,1,26.0
uplex-child-process,duplex-child-process,True,False,2022-08-18 22:49:26.636000+00:00,2022-08-19 08:45:45.304000+00:00,8.1.2,1,29.0
url-pafes,url-parser,True,False,2022-08-18 16:14:38.512000+00:00,2022-08-19 08:43:22.081000+00:00,1.2.0,1,27.0
url-w.parse,url-parse,True,False,2022-08-18 16:14:41.609000+00:00,2022-08-19 08:43:24.749000+00:00,1.2.0,1,21.0
uspports-color,supports-colors,True,True,2022-10-02 13:15:56.865000+00:00,2022-10-02 14:55:24.484000+00:00,9.2.3,1,
uwrljoin,url-join,True,False,2022-08-18 16:15:05.067000+00:00,2022-08-19 08:43:34.187000+00:00,1.2.0,1,25.0
validaqr,validator,True,False,2022-08-18 16:15:11.233000+00:00,2022-08-19 08:43:41.943000+00:00,1.2.0,1,27.0
vazliwd-url,valid-url,True,False,2022-08-18 16:15:14.419000+00:00,2022-08-19 08:43:44.805000+00:00,1.2.0,1,32.0
ve-loaer,vue-loader,True,False,2022-08-18 16:15:22.810000+00:00,2022-08-19 08:43:51.151000+00:00,1.2.0,1,26.0
veu-router,vue-router,True,False,2022-08-18 16:15:25.717000+00:00,2022-08-19 08:43:53.965000+00:00,1.2.0,1,79.0
vinyl-sf,vinyl-fs,True,False,2022-08-18 16:15:40.273000+00:00,2022-08-19 08:43:59.470000+00:00,1.2.0,1,26.0
vniyl-fs,vinyl-fs,True,False,2022-08-18 16:15:48.044000+00:00,2022-08-19 08:44:02.163000+00:00,1.2.0,1,24.0
vue-style-gloder,vue-style-loader,True,False,2022-08-18 16:16:13.418000+00:00,2022-08-19 08:44:04.667000+00:00,1.2.0,1,22.0
vueexxx,vue,True,True,2022-05-11 12:17:44.238000+00:00,2022-05-31 03:55:08.545000+00:00,1.0.5,4,
vuez-template-compile,vue-template-compiler,True,False,2022-08-18 16:16:21.190000+00:00,2022-08-19 08:44:07.683000+00:00,1.2.0,1,30.0
wbeidl-conversions,webidl-conversions,True,True,2022-10-02 12:50:18.737000+00:00,2022-10-02 14:54:51.802000+00:00,2.0.0,1,
wbpac-hot-middwleware,webpack-hot-middleware,True,False,2022-08-18 16:16:36.607000+00:00,2022-08-19 08:44:14.606000+00:00,1.2.0,1,26.0
wcebpack-bunde-analyzer,webpack-bundle-analyzer,True,False,2022-08-18 16:16:41.602000+00:00,2022-08-19 08:44:17.778000+00:00,1.2.0,1,24.0
weact-d5tepicker,react-datepicker,True,False,2022-08-18 16:16:44.960000+00:00,2022-08-19 08:44:20.749000+00:00,1.2.0,1,25.0
web-browserify,browserify,True,True,2021-04-08 18:31:43.443000+00:00,2021-04-11 09:56:13.125000+00:00,1.0.0,1,
weback,webpack,True,False,2022-08-18 16:16:52.032000+00:00,2022-08-19 08:44:24.033000+00:00,1.2.0,1,640.0
webb3,web3,True,False,2022-08-18 16:16:56.751000+00:00,2022-08-19 08:44:26.683000+00:00,1.2.0,1,33.0
webdl-conversions,webidl-conversions,True,True,2022-10-02 12:42:59.113000+00:00,2022-10-02 14:54:48.003000+00:00,2.0.0,1,
