package_name,entry_through_script,modules_used,eval,has_ip_or_address,has_bash_file,curl,fs,node-fetch,child_process,crypto,os,node-serialize,axios,querystring,dns,path,https_or_http
angular-common,False,set(),False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
angular-compiler,False,set(),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
angular-compiler-cli,False,{'tsickle'},False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
angular-core,False,"{'@angular-devkit/schematics', '@angular-devkit/core', 'typescript', 'module', 'path', 'url', 'fs'}",False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
angular-devkit-core,False,"{'./scoped', './safe', './level', '../src', './exception', './interface', './resolver', '../../src', 'node:util', './logger/index', '../path', './host/index', 'rxjs', '../../json/utils', 'node:path', './empty', './host', './null-logger', '../../exception', './metadata', '../utils', '../../utils', './strings', './object', 'jsonc-parser', './utils', 'https', '../virtual-fs', 'node:fs', './partially-ordered-set', './utility', './utilities', './json/reader', './visitor', './path', './logger', './cli-logger', './create', './json/writer', './transforms', '../exception', './utils/index', './indent', './pattern', 'chokidar', './record', 'fs', './transform-logger', './registry', './schema/index', './definitions', './memory', 'path', './json/index', './template', 'url', './buffer', 'source-map', '../definitions', 'ajv', './pointer', './literals', 'ajv-formats', './priority-queue', 'http', './core', '../host', 'os', './workspace', './test', '../../json', './sync', './alias', './lang', './virtual-fs/index', './schema'}",False,True,False,False,True,False,False,False,True,False,False,False,False,True,True
angular-devkit-schematics,False,"{'./engine/index', '../tree/null', './scoped', '@angular-devkit/core', '../src', './file-system-engine-host-base', './interface', '../tasks/node', '../../src', 'node:util', './schematic-test-runner', './schematic', './package-manager/link-task', 'rxjs', '../utility/update-buffer', './call', './run-schematic/task', './formats/index', 'magic-string', 'util', '../run-schematic/options', './exception/exception', './sink/sink', './rules/random', './host', './workflow/index', './base', './package-manager/install-task', '../schema-option-transform', './node-module-engine-host', './engine', '../tree/action', './tree/delegate', '../tools', './description', './rules/url', 'rxjs/operators', 'jsonc-parser', './sink/host', './entry', '../package-manager/executor', '../sink/host', './file-system-engine-host', './rules/schematic', './node-modules-test-engine-host', './host-tree', './path', './html-selector', './workflow/node-workflow', '../tree/scoped', './repo-init/init-task', '../tree/host-tree', './rules/move', '../exception/exception', 'fs', './sink/dryrun', './tree/static', '@angular-devkit/schematics', './delegate', '../../tasks/node', './schema-option-transform', '../rules/call', './recorder', '../engine', './tree/host-tree', 'path', '../tree/static', 'url', './rules/call', '../sink/dryrun', './rules/base', './export-ref', '@angular-devkit/core/node', '../run-schematic/executor', './options', './tree/interface', '../formats', '../node-module-engine-host', '../src/rules/call', './rules/template', 'ora', './file-system-utility', './tree/action', './tree/empty', './engine/schematic', '../tree/interface', '../package-manager/options', '../repo-init/options', '../repo-init/executor', 'child_process', './sink'}",False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
angular-forms,False,set(),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
angular-http,False,"{'rxjs/operators', '@angular/http', '@angular/platform-browser', 'rxjs', '@angular/core'}",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
angular-material,False,"{'./package-config', '@angular-devkit/core', '@schematics/angular/utility/change', './fonts/material-fonts', 'typescript', '@schematics/angular/utility/workspace-models', 'tty', 'fs', './create-custom-theme', '@angular-devkit/schematics', '@schematics/angular/utility/workspace', '@schematics/angular/private/components', './theming/theming', '@angular-devkit/schematics/tasks', 'path', '@angular/cdk/schematics', 'url'}",False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
angular-platform-browser,False,set(),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
angular-platform-browser-dynamic,False,set(),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
angular-platform-server,False,set(),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
angular-router,False,set(),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ansi-colors,False,{'./symbols'},False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ansi-escapes,False,set(),False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
